old_path,new_path
/fr/blog/aptiv-lentreprise-qui-a-fait-le-choix-de-linnovation,/blog/aptiv-lentreprise-qui-a-fait-le-choix-de-linnovation
/fr/blog/arret-technique-gmao,/blog/arret-technique-gmao
/fr/blog/assemblee-generale-federation-forge-fonderie,/blog/assemblee-generale-federation-forge-fonderie
/fr/blog/auto-maintenance-5-etapes,/blog/auto-maintenance-5-etapes
/fr/blog/bbh-technology-partenaire-mobility-work,/blog/bbh-technology-nouveau-partenaire-de-mobility-work
/fr/blog/benefices-gmao-secteur-medical,/blog/benefices-gmao-secteur-medical
/fr/blog/cahier-des-charges-gmao,/blog/cahier-des-charges-gmao
/fr/blog/ces-2017-bilan-apres-levenement,/blog/ces-2017-bilan-apres-levenement
/fr/blog/ces-2019-bilan-mobility-work,/blog/ces-2019-bilan-mobility-work
/fr/blog/ces-2020-heure-bilan,/blog/ces-2020-heure-bilan
/fr/blog/ces-2020-mobility-work-senvole-vegas,/blog/ces-2020-mobility-work-senvole-vegas
/fr/blog/choisir-gmao-21-cfr-part-11,/blog/choisir-gmao-21-cfr-part-11
/fr/blog/choisir-meilleure-gmao,/blog/choisir-meilleure-gmao
/fr/blog/comment-appliquer-maintenance-lean-aux-fonderies-innovantes,/blog/comment-appliquer-maintenance-lean-aux-fonderies-innovantes
/fr/blog/comment-optimiser-maintenance-logistique-transport,/blog/comment-optimiser-la-maintenance-dans-la-logistique-et-le-transport
/fr/blog/comment-reduire-couts-maintenance,/blog/blog-comment-reduire-couts-maintenance
/fr/blog/comment-reduire-depenses-maintenance,/blog/comment-reduire-depenses-maintenance
/fr/blog/commission-maintenance-federation-forge-fonderie,/blog/commission-maintenance-federation-forge-fonderie
/fr/blog/communautes-maintenance-gmao-4-0,/blog/communautes-maintenance-gmao-4-0
/fr/blog/conduite-du-changement-gmao,/blog/conduite-du-changement-gmao
/fr/blog/contrats-maintenance-industrielle-definition-astuces,/blog/contrats-de-maintenance-industrielle-definition-et-astuces
/fr/blog/covid-19-gmao-maintenance-medical,/blog/covid-19-gmao-maintenance-medical
/fr/blog/danone-opole-choisit-mobility-work-pour-la-gestion-de-ses-pieces-de-rechanges-des-ses-documents-et-de-sa-maintenance-preventive,/blog/danone-opole-choisit-mobility-work-pour-la-gestion-de-ses-pieces-de-rechanges-des-ses-documents-et-de-sa-maintenance-preventive
/fr/blog/definir-bons-kpi-maintenance-gmao,/blog/definir-bons-kpi-maintenance-gmao
/fr/blog/dernieres-nouveautes-et-ameliorations-gmao-novembre-2023,/blog/les-dernieres-nouveautes-et-ameliorations-novembre-2023
/fr/blog/dictionnaire-maintenance-industrielle,/blog/petit-dictionnaire-de-la-maintenance-industrielle
